gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000000023.1,GENE23,19.891120686078963,NA,4.857727091502253e-88,0.41420332562225076,0.04395346097267348,0.0003641569670745793,0.005032490406641539,7,7,7,1.016828665083962e-11,0.5237437228320534
ENSG00000000066.1,GENE66,18.786699901618846,NA,9.702869652897928e-79,0.30273822036215603,0.08773054908624955,0.03234243648688057,0.04891518123402898,7,7,7,4.741728606015142e-09,0.443020557072349
ENSG00000000041.1,GENE41,11.668275445445628,NA,1.8513817390037528e-31,0.039201717184979806,0.2513230065752526,0.026275956134971745,0.014846634705372836,5,5,5,3.3799726375748413e-13,0.08411307970237009
ENSG00000000058.1,GENE58,8.010401632930634,NA,1.1433443441214734e-15,0.15454905795263374,0.46271386359458155,0.039950600268163154,0.034539500103557344,3,3,3,3.01481569308809e-09,0.3893412032391843
ENSG00000000007.1,GENE7,6.757112130147387,NA,1.4076924856811687e-11,0.15274124875776632,0.4496353763352981,0.04916410715828414,0.011501802769142403,5,5,5,8.847013053183759e-10,0.2639996933876325
ENSG00000000051.1,GENE51,-3.4441315575740563,NA,0.0005728968689405142,0.7753626432993511,0.20143818329970814,0.036891314539515364,0.006784722937783686,4,4,4,0.03204941063446104,0.7628904531368887
ENSG00000000079.1,GENE79,-2.248742191753792,NA,0.024528903170388267,0.5347671372315143,0.23494999280843593,0.0421698161294492,0.03432092542118055,3,3,3,0.026724350597667063,0.5486003998211257
ENSG00000000063.1,GENE63,-2.208452317734921,NA,0.027212758209969982,0.3276921349179381,0.34589215911494436,0.021606657633872647,0.002036001256280684,5,5,5,0.08078772470790346,0.5034486423961617
ENSG00000000034.1,GENE34,2.1710365155572013,NA,0.02992841222244435,0.9043422247214703,0.03976181291771127,0.0032893051901732554,0.0007640981017118326,5,5,5,0.011061293661722404,0.47681864378912553
ENSG00000000009.1,GENE9,-2.1492923669911623,NA,0.03161123120856459,0.3244116816778111,0.18601170297439631,0.0036567733681262793,0.00614770063078713,6,6,6,0.0018857286529457165,0.3813102434555975
ENSG00000000076.1,GENE76,-1.925766989867537,NA,0.05413347497434633,0.7313308942153517,0.4073647329110576,0.028315193321825312,0.04049647891903111,7,7,7,0.009988747244127759,0.4725935965782559
ENSG00000000025.1,GENE25,-1.8048132156310055,NA,0.07110391565737947,0.3565590465578327,0.4696171585356706,0.017667246336658757,0.024509359348610323,4,4,4,0.06696530795564783,0.43828401981126713
ENSG00000000038.1,GENE38,1.6428315803292148,NA,0.10041778424600516,1.410253919962511,0.1127912792870694,0.045448309687493076,0.025912108052543955,8,8,8,0.06671731704500192,0.5254767200783207
ENSG00000000055.1,GENE55,-1.5941402228852142,NA,0.11090463163373693,0.3038453796980508,0.0929274151242597,0.020285385734511767,0.03761331596809538,3,3,3,0.067874815745535,0.2779151967605446
ENSG00000000014.1,GENE14,1.5745660009382245,NA,0.11535665578468715,1.2322038463025828,0.4896354186267502,0.04472755593230899,0.033250877678873796,7,7,7,0.17815298751738784,0.5773398447398342
ENSG00000000018.1,GENE18,1.5296745242226182,NA,0.12609731256956783,1.049227619579717,0.440285362951568,0.026676412629775072,0.023985603120792058,7,7,7,0.13912369175653333,0.6295232734972467
ENSG00000000010.1,GENE10,1.4440296607850036,NA,0.14873063215553925,0.3886634680886145,0.4605131193886899,0.010484302886364521,0.01325292621010697,5,5,5,0.39358848188674045,0.5440014284487015
ENSG00000000072.1,GENE72,-1.4233320773786133,NA,0.15463991228495064,2.450073751700311,0.059480386662610754,0.011216870950312896,0.019319623003680227,7,7,7,0.007408616027552893,0.61470878298705
ENSG00000000046.1,GENE46,-1.356473245297039,NA,0.17494864238334196,0.3805267883064916,0.40593743654066916,0.0013419965017639,0.04794753137727401,5,5,5,0.20955324768936245,0.49537222758244676
ENSG00000000011.1,GENE11,-1.325159841144385,NA,0.18511814183575448,2.411807792862078,0.13959443455889536,0.045093416378225705,0.046364029738955606,7,7,7,0.23713644335269024,0.7235925573021305
ENSG00000000069.1,GENE69,1.2630675116315664,NA,0.20656491844220837,0.6470191364166161,0.38391086321729195,0.023744249730751014,0.020347648713585013,6,6,6,0.14388068135989626,0.6844998586386216
ENSG00000000039.1,GENE39,1.2467374713936588,NA,0.21249377441918138,1.5732585157126777,0.4448565657157926,0.0006407930522686707,0.04718102836643092,4,4,4,0.08324313155707437,0.6611925644973321
ENSG00000000036.1,GENE36,-1.2332376503414608,NA,0.21748711221819117,1.5624986097951055,0.26496643623781585,0.01345877504119407,0.025601784215067737,3,3,3,0.06756086711851934,0.8434229701959174
ENSG00000000059.1,GENE59,-1.1810222129096382,NA,0.2375938991859663,0.47610550730033074,0.46633700094276925,0.020579001720551254,0.025904924287231988,5,5,5,0.13702054429527594,0.704120141103954
ENSG00000000044.1,GENE44,1.1631429956637112,NA,0.24477149010836285,2.834832053671798,0.1285694389772394,0.04188825129949071,0.03333537623376768,8,8,8,0.023195132057383386,0.7612088549728668
ENSG00000000068.1,GENE68,-1.1221988141517745,NA,0.26177791674251694,0.27791023121700487,0.48482316307921297,0.023356223237813153,0.00024207036008306565,3,3,3,0.11865668355437653,0.49846368121834445
ENSG00000000016.1,GENE16,1.0985239880536535,NA,0.2719757488500364,5.174612611167587,0.23773432485656296,0.006951168210547414,0.036466286193130755,8,8,8,0.024307866079819933,0.7761759004574414
ENSG00000000033.1,GENE33,1.0850151634577745,NA,0.27791493937781897,0.8680974588052396,0.04693690969729399,0.03261569130702266,0.030465240711642697,8,8,8,0.0238110432734936,0.531631728969922
ENSG00000000078.1,GENE78,1.0624210649302677,NA,0.2880445750192441,0.7317105313200108,0.2500383387681753,0.031141255697888805,0.014025818738109227,6,6,6,0.2248631937259724,0.5778396539093429
ENSG00000000060.1,GENE60,1.0616511055102196,NA,0.28839410388141506,0.612444567362107,0.23500924287431363,0.003914773586339271,0.032194413436296074,4,4,4,0.10801193405546661,0.6840920726606897
ENSG00000000015.1,GENE15,1.0504861932714344,NA,0.2934946355082979,0.4612687649651436,0.4961669393945109,0.020482119573549555,0.035111862273077166,6,6,6,0.11943490306309353,0.4605736311893644
ENSG00000000054.1,GENE54,1.0346118274789589,NA,0.30085022819903073,0.9037431197002236,0.26024387884764894,0.04265039141986523,0.0016942785437970103,5,5,5,0.26810992402099354,0.6756873793096342
ENSG00000000071.1,GENE71,0.9510738064028758,NA,0.3415669104421556,0.20090671968037688,0.10000225293821373,0.02017317429311078,0.012260852400769882,4,4,4,0.08764862972972988,0.23605051091555268
ENSG00000000064.1,GENE64,-0.9247455820318746,NA,0.3550982630498729,0.6791709149553246,0.3374972413841951,0.03137125659268438,0.02122271656216496,5,5,5,0.21759184988883995,0.3638170798938214
ENSG00000000003.1,GENE3,-0.8606901185571098,NA,0.3894087368669651,1.0388507408410217,0.11961932515928611,0.014206982480867379,0.030662867486669368,6,6,6,0.05952985563276116,0.5309746422850974
ENSG00000000031.1,GENE31,0.8559552041831006,NA,0.39202255790177365,2.0479707931303275,0.13621732999251968,0.023334572057660718,0.0021507685418395398,8,8,8,0.45695248169793,0.6953464700706209
ENSG00000000013.1,GENE13,0.8428719345365374,NA,0.39930007133811374,1.4498790831633979,0.45747364381643446,0.02667407232808873,0.0355132517029873,7,7,7,0.002772622502018802,0.7415800643118866
ENSG00000000022.1,GENE22,-0.8397469195004335,NA,0.401050300706845,0.9632849771051043,0.2485734265801614,0.03308720677716215,0.04725987271768168,6,6,6,0.058903226879536086,0.5630977302944342
ENSG00000000001.1,GENE1,-0.8244959123158083,NA,0.4096578374664873,0.10037858453680305,0.48316649997462946,0.04491146848824292,0.0039526368205604935,3,3,3,0.25990527425560306,0.16982770245678724
ENSG00000000053.1,GENE53,0.8161400479975602,NA,0.41442004109106123,2.4577419275304373,0.2132338331422385,0.016464064442115046,0.01563850562678646,8,8,8,0.06810706499917348,0.7772339996807099
ENSG00000000012.1,GENE12,0.7907013283555752,NA,0.42911830074291746,1.375774887754557,0.03743944675579595,0.04605113099763047,9.877591866023498e-05,6,6,6,0.2874571335135644,0.658813558118244
ENSG00000000057.1,GENE57,0.7554261170765278,NA,0.44999334753877984,0.05306834438370709,0.3833684879762226,0.03914741212704144,0.0031615483152123815,3,3,3,0.5127810080886774,0.24440975872746062
ENSG00000000006.1,GENE6,-0.7034109498266096,NA,0.48179968460688705,0.014131683383543857,0.2711002280359707,0.014658727713660261,0.013606570128371217,3,3,3,0.4330064777954731,0.12669394748108628
ENSG00000000021.1,GENE21,-0.6941271220672687,NA,0.48760249100728936,1.4077639262991433,0.24038767209888529,0.027922830622847866,0.007149775980769654,5,5,5,0.18445753494167938,0.6772352307524876
ENSG00000000020.1,GENE20,-0.6897758382253746,NA,0.4903351653662822,1.6533087809474276,0.170975184158523,0.03217698310039219,0.004769449860141935,6,6,6,0.29391910754911554,0.7524832471242615
ENSG00000000056.1,GENE56,-0.638580668146843,NA,0.5230957607508572,0.28528926001295024,0.1301469411868817,0.049189109697700115,0.038070254818028476,5,5,5,0.5318731848295901,0.4988032064454235
ENSG00000000048.1,GENE48,-0.6020194965624567,NA,0.5471611596119885,0.11393255970105705,0.48458721679031574,0.0014939999290329877,0.013828972097366362,3,3,3,0.5348923487173625,0.3030834939004148
ENSG00000000065.1,GENE65,0.5567329945004945,NA,0.577709870358138,1.2528912602796378,0.30486580154069415,0.019427637862483096,0.004258455190575338,3,3,3,0.4256746604682565,0.7118086203044097
ENSG00000000028.1,GENE28,0.5538103962030565,NA,0.5797086126363854,0.5950640315133796,0.2710514467218761,0.034202588445802956,0.0007736500162369,6,6,6,0.004988340221177249,0.6199658868392628
ENSG00000000075.1,GENE75,-0.5362280947709798,NA,0.5918009188407765,0.26285637774485293,0.3505462615021552,0.03493119147584423,0.0388604232291604,4,4,4,0.40695251639606944,0.2894308559918257
ENSG00000000043.1,GENE43,0.5309793511112344,NA,0.5954330882559609,0.5672414257275121,0.30560157862853937,0.016915523530422003,0.005908685428615383,3,3,3,0.1215259244885128,0.5059090358669059
